key,name,built_form_category,du_per_acre,pop_per_acre,hh_per_acre,emp_per_acre,du_detsf_sl_per_acre,du_detsf_ll_per_acre,du_attsf_per_acre,du_mf2to4_per_acre,du_mf5p_per_acre,emp_ret_per_acre,emp_off_per_acre,emp_pub_per_acre,emp_ind_per_acre,emp_ag_per_acre,intersection_density,building_sqft_per_acre,footprint_ratio,max_levels,area_parcel_res,area_parcel_emp,area_parcel_mixed_use,is_active
bt__skyscraper_mixed_use,Skyscraper Mixed Use,Mixed Use,133.9384787,230.6087231,125.4333853,1920.81939,0.0,0.0,0.0,133.9384787,0.0,174.6458796,1746.17351,0.0,0.0,0.0,0.0,1535036.540422,0.0,1,0.0,0.0,1.0,TRUE
bt__high_rise_mixed_use,High-Rise Mixed Use,Mixed Use,204.5994781,381.6936843,191.6074112,642.3726075,0.0,0.0,0.0,204.5994781,0.0,83.61799273,558.7546147,0.0,0.0,0.0,0.0,674160.7526589,0.0,1,0.1,0.0,0.9,TRUE
bt__mid_rise_mixed_use,Mid-Rise Mixed Use,Mixed Use,164.7050148,287.3341069,154.2462464,131.4263592,0.0,0.0,0.0,164.7050148,0.0,84.21991042,47.20644881,0.0,0.0,0.0,0.0,458016.03392809996,0.0,1,0.0,0.0,1.0,TRUE
bt__low_rise_mixed_use,Low-Rise Mixed Use,Mixed Use,95.69545477,169.864208,89.61879339,62.88255256,0.0,0.0,0.0,95.69545477,0.0,41.43400833,21.44854423,0.0,0.0,0.0,0.0,225340.1603274,0.0,1,0.0,0.0,1.0,TRUE
bt__parking_structure_mu,Parking Structure/MU,Commercial/Retail,18.01932,30.96579599,16.87509318,60.4395,0.0,0.0,0.0,18.01932,0.0,60.4395,0.0,0.0,0.0,0.0,0.0,56410.200000000004,0.0,1,0.0,0.0,1.0,TRUE
bt__main_street_commercial_mu_high,Main Street Commercial/MU High,Commercial/Retail,66.3854493,120.9287516,62.16997327,91.60565614,0.0,0.0,0.0,66.3854493,0.0,55.86266822,35.74298792,0.0,0.0,0.0,0.0,86687.2967427,0.0,1,0.0,0.0,1.0,TRUE
bt__main_street_commercial_mu_low_1.5_far,Main Street Commercial/MU Low 1.5 FAR,Commercial/Retail,40.0,0.0,0.0,39.65169551,0.0,0.0,0.0,40.0,0.0,16.80136408,22.85033143,0.0,0.0,0.0,0.0,53317.4399999,0.0,1,0.0,0.0,1.0,TRUE
bt__main_street_commercial_mu_low,Main Street Commercial/MU Low,Commercial/Retail,48.04474808,90.98434409,44.99390658,45.85784078,0.0,0.0,0.0,48.04474808,0.0,45.85784078,0.0,0.0,0.0,0.0,0.0,66244.30559989999,0.0,1,0.0,0.0,1.0,TRUE
bt__skyscraper_residential,Skyscraper Residential,Residential,608.7160546,898.8762738,570.0625852,8.759144457,0.0,0.0,0.0,608.7160546,0.0,8.759144457,0.0,0.0,0.0,0.0,0.0,1638637.9019999,0.0,1,1.0,0.0,0.0,TRUE
bt__high_rise_residential,High-Rise Residential,Residential,374.0888431,574.4691496,350.3342016,18.17262587,0.0,0.0,0.0,374.0888431,0.0,17.12053298,0.228715844,0.0,0.823377039,0.0,0.0,997995.33698107,0.0,1,1.0,0.0,0.0,TRUE
